ID: tud1100  COLLEGE: itb  SURNAME: Aburto  	FIRSTNAME: Anjelica 
ID: tud1101  COLLEGE: itb  SURNAME: Aburto  	FIRSTNAME: Anjelica 
ID: tud1102  COLLEGE: itb  SURNAME: Aburto  	FIRSTNAME: Anjelica 
ID: tud1103  COLLEGE: itb  SURNAME: Aburto  	FIRSTNAME: Anjelica 
ID: tud1104  COLLEGE: itb  SURNAME: Aburto  	FIRSTNAME: Anjelica 
ID: tud1105  COLLEGE: dit  SURNAME: Ackerson 	FIRSTNAME: Toni 
ID: tud1106  COLLEGE: dit  SURNAME: Ackerson 	FIRSTNAME: Toni 
ID: tud1107  COLLEGE: dit  SURNAME: Ackerson 	FIRSTNAME: Toni 
ID: tud1108  COLLEGE: dit  SURNAME: Ackerson 	FIRSTNAME: Toni 
ID: tud1109  COLLEGE: dit  SURNAME: Ackerson 	FIRSTNAME: Toni 
ID: tud1110  COLLEGE: itb  SURNAME: Acosta  	FIRSTNAME: Alissa 
ID: tud1111  COLLEGE: itb  SURNAME: Acosta  	FIRSTNAME: Alissa 
ID: tud1112  COLLEGE: itb  SURNAME: Acosta  	FIRSTNAME: Alissa 
ID: tud1113  COLLEGE: itb  SURNAME: Acosta  	FIRSTNAME: Alissa 
ID: tud1114  COLLEGE: itb  SURNAME: Acosta  	FIRSTNAME: Alissa 
ID: tud1115  COLLEGE: itt  SURNAME: Addison 	FIRSTNAME: Bobbi 
ID: tud1116  COLLEGE: itt  SURNAME: Addison 	FIRSTNAME: Bobbi 
ID: tud1117  COLLEGE: itt  SURNAME: Addison 	FIRSTNAME: Bobbi 
ID: tud1118  COLLEGE: itt  SURNAME: Addison 	FIRSTNAME: Bobbi 
ID: tud1119  COLLEGE: itt  SURNAME: Addison 	FIRSTNAME: Bobbi 
ID: tud1120  COLLEGE: itt  SURNAME: Ailey   	FIRSTNAME: Olen 
ID: tud1121  COLLEGE: itt  SURNAME: Ailey   	FIRSTNAME: Olen 
ID: tud1122  COLLEGE: itt  SURNAME: Ailey   	FIRSTNAME: Olen 
ID: tud1123  COLLEGE: itt  SURNAME: Ailey   	FIRSTNAME: Olen 
ID: tud1124  COLLEGE: itt  SURNAME: Ailey   	FIRSTNAME: Olen 
ID: tud1125  COLLEGE: dit  SURNAME: Alles   	FIRSTNAME: Devora 
ID: tud1126  COLLEGE: dit  SURNAME: Alles   	FIRSTNAME: Devora 
ID: tud1127  COLLEGE: dit  SURNAME: Alles   	FIRSTNAME: Devora 
ID: tud1128  COLLEGE: dit  SURNAME: Alles   	FIRSTNAME: Devora 
ID: tud1129  COLLEGE: dit  SURNAME: Alles   	FIRSTNAME: Devora 
ID: tud1130  COLLEGE: itt  SURNAME: Aschenbrenner 	FIRSTNAME: Kayla 
ID: tud1131  COLLEGE: itt  SURNAME: Aschenbrenner 	FIRSTNAME: Kayla 
ID: tud1132  COLLEGE: itt  SURNAME: Aschenbrenner 	FIRSTNAME: Kayla 
ID: tud1133  COLLEGE: itt  SURNAME: Aschenbrenner 	FIRSTNAME: Kayla 
ID: tud1134  COLLEGE: itt  SURNAME: Aschenbrenner 	FIRSTNAME: Kayla 
ID: tud1135  COLLEGE: itt  SURNAME: Aschoff 	FIRSTNAME: Pedro 
ID: tud1136  COLLEGE: itt  SURNAME: Aschoff 	FIRSTNAME: Pedro 
ID: tud1137  COLLEGE: itt  SURNAME: Aschoff 	FIRSTNAME: Pedro 
ID: tud1138  COLLEGE: itt  SURNAME: Aschoff 	FIRSTNAME: Pedro 
ID: tud1139  COLLEGE: itt  SURNAME: Aschoff 	FIRSTNAME: Pedro 
ID: tud1140  COLLEGE: itb  SURNAME: Aslett  	FIRSTNAME: Apolonia 
ID: tud1141  COLLEGE: itb  SURNAME: Aslett  	FIRSTNAME: Apolonia 
ID: tud1142  COLLEGE: itb  SURNAME: Aslett  	FIRSTNAME: Apolonia 
ID: tud1143  COLLEGE: itb  SURNAME: Aslett  	FIRSTNAME: Apolonia 
ID: tud1144  COLLEGE: itb  SURNAME: Aslett  	FIRSTNAME: Apolonia 
ID: tud1145  COLLEGE: itb  SURNAME: Au      	FIRSTNAME: Arla 
ID: tud1146  COLLEGE: itb  SURNAME: Au      	FIRSTNAME: Arla 
ID: tud1147  COLLEGE: itb  SURNAME: Au      	FIRSTNAME: Arla 
ID: tud1148  COLLEGE: itb  SURNAME: Au      	FIRSTNAME: Arla 
ID: tud1149  COLLEGE: itb  SURNAME: Au      	FIRSTNAME: Arla 
ID: tud1150  COLLEGE: dit  SURNAME: Barcelo 	FIRSTNAME: Darcie 
ID: tud1151  COLLEGE: dit  SURNAME: Barcelo 	FIRSTNAME: Darcie 
ID: tud1152  COLLEGE: dit  SURNAME: Barcelo 	FIRSTNAME: Darcie 
ID: tud1153  COLLEGE: dit  SURNAME: Barcelo 	FIRSTNAME: Darcie 
ID: tud1154  COLLEGE: dit  SURNAME: Barcelo 	FIRSTNAME: Darcie 
ID: tud1155  COLLEGE: itt  SURNAME: Baze    	FIRSTNAME: Merrilee 
ID: tud1156  COLLEGE: itt  SURNAME: Baze    	FIRSTNAME: Merrilee 
ID: tud1157  COLLEGE: itt  SURNAME: Baze    	FIRSTNAME: Merrilee 
ID: tud1158  COLLEGE: itt  SURNAME: Baze    	FIRSTNAME: Merrilee 
ID: tud1159  COLLEGE: itt  SURNAME: Baze    	FIRSTNAME: Merrilee 
ID: tud1160  COLLEGE: dit  SURNAME: Beauford 	FIRSTNAME: Miyoko 
ID: tud1161  COLLEGE: dit  SURNAME: Beauford 	FIRSTNAME: Miyoko 
ID: tud1162  COLLEGE: dit  SURNAME: Beauford 	FIRSTNAME: Miyoko 
ID: tud1163  COLLEGE: dit  SURNAME: Beauford 	FIRSTNAME: Miyoko 
ID: tud1164  COLLEGE: dit  SURNAME: Beauford 	FIRSTNAME: Miyoko 
ID: tud1165  COLLEGE: itt  SURNAME: Berney  	FIRSTNAME: Thalia 
ID: tud1166  COLLEGE: itt  SURNAME: Berney  	FIRSTNAME: Thalia 
ID: tud1167  COLLEGE: itt  SURNAME: Berney  	FIRSTNAME: Thalia 
ID: tud1168  COLLEGE: itt  SURNAME: Berney  	FIRSTNAME: Thalia 
ID: tud1169  COLLEGE: itt  SURNAME: Berney  	FIRSTNAME: Thalia 
ID: tud1170  COLLEGE: dit  SURNAME: Besaw   	FIRSTNAME: Maple 
ID: tud1171  COLLEGE: dit  SURNAME: Besaw   	FIRSTNAME: Maple 
ID: tud1172  COLLEGE: dit  SURNAME: Besaw   	FIRSTNAME: Maple 
ID: tud1173  COLLEGE: dit  SURNAME: Besaw   	FIRSTNAME: Maple 
ID: tud1174  COLLEGE: dit  SURNAME: Besaw   	FIRSTNAME: Maple 
ID: tud1175  COLLEGE: dit  SURNAME: Bivona  	FIRSTNAME: Oretha 
ID: tud1176  COLLEGE: dit  SURNAME: Bivona  	FIRSTNAME: Oretha 
ID: tud1177  COLLEGE: dit  SURNAME: Bivona  	FIRSTNAME: Oretha 
ID: tud1178  COLLEGE: dit  SURNAME: Bivona  	FIRSTNAME: Oretha 
ID: tud1179  COLLEGE: dit  SURNAME: Bivona  	FIRSTNAME: Oretha 
ID: tud1180  COLLEGE: itt  SURNAME: Boan    	FIRSTNAME: Samara 
ID: tud1181  COLLEGE: itt  SURNAME: Boan    	FIRSTNAME: Samara 
ID: tud1182  COLLEGE: itt  SURNAME: Boan    	FIRSTNAME: Samara 
ID: tud1183  COLLEGE: itt  SURNAME: Boan    	FIRSTNAME: Samara 
ID: tud1184  COLLEGE: itt  SURNAME: Boan    	FIRSTNAME: Samara 
ID: tud1185  COLLEGE: itt  SURNAME: Boone   	FIRSTNAME: Fabian 
ID: tud1186  COLLEGE: itt  SURNAME: Boone   	FIRSTNAME: Fabian 
ID: tud1187  COLLEGE: itt  SURNAME: Boone   	FIRSTNAME: Fabian 
ID: tud1188  COLLEGE: itt  SURNAME: Boone   	FIRSTNAME: Fabian 
ID: tud1189  COLLEGE: itt  SURNAME: Boone   	FIRSTNAME: Fabian 
ID: tud1190  COLLEGE: dit  SURNAME: Boos    	FIRSTNAME: Jin 
ID: tud1191  COLLEGE: dit  SURNAME: Boos    	FIRSTNAME: Jin 
ID: tud1192  COLLEGE: dit  SURNAME: Boos    	FIRSTNAME: Jin 
ID: tud1193  COLLEGE: dit  SURNAME: Boos    	FIRSTNAME: Jin 
ID: tud1194  COLLEGE: dit  SURNAME: Boos    	FIRSTNAME: Jin 
ID: tud1195  COLLEGE: itb  SURNAME: Bourgeois 	FIRSTNAME: Bambi 
ID: tud1196  COLLEGE: itb  SURNAME: Bourgeois 	FIRSTNAME: Bambi 
ID: tud1197  COLLEGE: itb  SURNAME: Bourgeois 	FIRSTNAME: Bambi 
ID: tud1198  COLLEGE: itb  SURNAME: Bourgeois 	FIRSTNAME: Bambi 
ID: tud1199  COLLEGE: itb  SURNAME: Bourgeois 	FIRSTNAME: Bambi 
ID: tud1200  COLLEGE: itt  SURNAME: Brekke  	FIRSTNAME: April 
ID: tud1201  COLLEGE: itt  SURNAME: Brekke  	FIRSTNAME: April 
ID: tud1202  COLLEGE: itt  SURNAME: Brekke  	FIRSTNAME: April 
ID: tud1203  COLLEGE: itt  SURNAME: Brekke  	FIRSTNAME: April 
ID: tud1204  COLLEGE: itt  SURNAME: Brekke  	FIRSTNAME: April 
